ID_SHOP,SEX,MARITAL_STATUS,AGE,FLAG_RESIDENCIAL_PHONE,AREA_CODE_RESIDENCIAL_PHONE,PAYMENT_DAY,RESIDENCE_TYPE,MONTHS_IN_RESIDENCE,FLAG_RESIDENCE_TOWN=WORKING_TOWN,FLAG_RESIDENCE_STATE=WORKING_STATE,MONTHS_IN_THE_JOB,PROFESSION_CODE,MATE_INCOME,FLAG_RESIDENCIAL_ADDRESS=POSTAL_ADDRESS,QUANT_BANKING_ACCOUNTS,PERSONAL_NET_INCOME,QUANT_ADDITIONAL_LOAN_IN_THE_APPLICATION,TARGET_LABEL_BAD=1,LOAN_AMOUNT_REQUESTED,ID_CLIENT
16,F,S,28,Y,31,25,O,12,Y,Y,12,24,0,Y,0,250,0,0,5882.397984,1
12,M,S,20,Y,50,12,P,12,Y,Y,24,39,0,Y,0,285,0,1,18085.78124,2
15,F,D,71,Y,31,18,A,96,N,Y,12,13,0,Y,0,180,0,0,8346.744478,3
1,F,S,46,Y,31,8,P,72,N,Y,12,801,0,Y,0,442,0,0,26026.79304,4
24,F,O,31,N,50,28,P,168,Y,Y,72,801,0,Y,0,451,0,0,6337.601302,5
23,F,S,66,Y,31,12,P,48,Y,Y,288,918,0,Y,0,365,0,0,17519.18734,6
6,F,O,17,Y,34,12,P,216,Y,Y,24,62,0,Y,0,200,0,1,18812.52926,7
19,F,S,32,Y,31,1,P,120,Y,Y,12,999,0,Y,0,733,0,0,24757.88262,8
25,F,C,32,Y,31,1,P,96,Y,Y,24,41,0,Y,0,1805,0,0,12665.42979,9
20,M,S,19,Y,31,12,P,12,Y,Y,12,999,0,Y,0,240,0,1,11398.12312,10
22,F,S,18,Y,31,12,A,12,Y,Y,12,801,0,Y,0,197,0,0,19591.82327,11
21,F,S,34,N,31,12,A,24,Y,Y,168,205,0,N,0,400,0,0,21583.2678,12
24,F,S,19,Y,50,12,C,36,Y,Y,12,61,0,Y,0,200,0,1,26519.30801,13
5,F,V,61,Y,5,20,P,240,N,Y,0,703,0,Y,0,1600,0,0,11305.48724,14
15,M,C,56,Y,31,12,P,300,N,Y,12,13,0,Y,0,306,0,0,24907.50549,15
1,M,O,28,N,50,8,P,336,N,Y,12,110,0,Y,0,450,0,0,26366.50013,16
25,F,S,38,Y,31,8,A,72,Y,Y,168,807,0,Y,0,300,0,0,12141.68154,17
25,F,C,48,Y,31,8,P,156,Y,Y,204,999,0,Y,0,1300,1,0,27156.9036,18
25,F,S,52,Y,31,12,P,360,Y,Y,252,251,0,Y,0,400,0,0,29960.43509,19
25,F,V,46,Y,50,18,P,192,N,Y,84,703,0,Y,0,656,0,0,14593.13241,20
10,M,C,57,Y,31,8,P,120,Y,Y,240,514,0,Y,0,4000,1,0,7292.541123,21
